ID,Year,Make,Model,CC,Miles,Price
000014,2010,CAN-AM,SPYDER RS SE5,990,9460,SOLD
000020,2004,HONDA,NRX1800 RUNE,1800,2297,$25970
000333,2004,HONDA,NRX1800 RUNE ,1800,73,$27470
000370,2004,HONDA,NRX1800 RUNE,1800,4761,$18970
000458,2004,HONDA,NRX1800 RUNE ,1800,8705,$21920
021133,2001,HONDA,TRAILER 7X14,,0,$2970
022290,1993,HARLEY,FLSTN HERITAGE,1340,10138,$12960
024009,1998,HARLEY,FLSTS SPRINGER HERITAGE,1340,6133,$12960
025395,2015,DUCATI,DIAVEL DARK,1198,7397,$10960
027932,1997,HARLEY,FLSTS SPRINGER,1340,3304,$13970
032562,1995,HARLEY,FXSTSB BAD BOY,1340,22871,$9970
033028,1997,HARLEY,FLSTS SPRINGER HERITAGE,1340,47826,$12960Call First
043765,1998,HARLEY,FLSTS SPRINGER,1340,39141,$11960
050863,1999,HARLEY,FLSTS SPRINGER,1340,20420,$12960
10605,2008,KAWASAKI,ZX-14 NINJA,1352,1598,SOLD
11970,2009,BMW,R1200GS,1170,40563,$6750
186228,2014,BMW,R1200GS,1200,44667,Call For Price
200202,2014,HYOSUNG,GT650 ,650,573,$3970
201744,1989,HONDA,XL600V TRANSALP,600,16084,$4980
300301,2012,HYOSUNG,GT250 ,250,5,$2670
400801,1982,HONDA,CBX1000,1000,12471,$8970
401001,1982,HONDA,CBX1000 ,1000,16725,$8970
40128,2008,SUZUKI,M109R2,1783,25512,SOLD
40178,2010,HONDA,VFR1200A INTERCEPTOR ABS,1237,21176,$6450
40365,1998,HONDA,CBR1100XX,1098,29765,SOLD
40456,2013,BMW,F800GS STANDARD ABS,798,31325,$11985Call First
40524,2012,BMW,R1200GS ,1170,23914,$11260
40834,2010,YAMAHA,FJR1300A ABS ,1300,39595,$6965
41255,2011,SUZUKI,DL650A V-STROM ABS,650,19515,$4955
41397,2008,KAWASAKI,KLR650 ,650,18867,$2980
41474,2000,HONDA,CBR929RR ,929,41640,SOLD
41491,2011,HONDA,VT1300CT INTERSTATE VT13CT,1300,18365,SOLD
41774,2006,HONDA,GL1800P GOLDWING,1800,5899,SOLD
50075,2011,BMW,R1200RT ,1200,41177,$12975
50457,2008,HONDA,GL1800P GOLDWING,1800,71332,$9965
50557,2009,BMW,F800GS STANDARD,800,34116,SOLD
50565,2002,HARLEY,FXSTD SOFTAIL DEUCE ,1450,17611,SOLD
50629,2005,HONDA,CBR600F4i,,17253,SOLD
50663,2011,SUZUKI,C50T,800,30383,$3750
50916,2009,BMW,F650GS STANDARD ABS,650,32899,$7965Call First
50932,2014,BMW,R1200RT,1200,27209,$17975
51095,2011,SUZUKI,C50T BOULEVARD,800,20177,$3750
